s2,s3,s4,s7,s8,s9,s11,s12,s13,s14,s15,s17,s20,s21
642.27,1579.49,1392.25,554.80,2388.01,9062.42,47.24,522.65,2388.00,8142.68,8.3943,391,39.01,23.4534
641.87,1584.27,1400.17,554.15,2387.98,9071.20,47.02,522.30,2388.00,8146.45,8.4143,391,39.01,23.4892
641.77,1584.84,1399.00,554.26,2387.93,9068.51,47.25,522.29,2387.96,8148.81,8.4011,390,38.98,23.3838
642.34,1580.64,1392.93,555.37,2388.02,9067.43,47.13,522.11,2387.98,8147.17,8.4132,391,39.12,23.4911
641.74,1578.05,1398.49,554.49,2387.99,9066.59,46.96,523.33,2387.97,8151.23,8.4126,391,38.89,23.3875
641.81,1583.03,1401.96,554.39,2387.97,9062.41,47.23,522.42,2388.00,8145.10,8.3862,391,39.03,23.4053
641.68,1577.60,1396.25,554.54,2388.01,9065.75,47.05,522.73,2387.94,8146.76,8.3678,391,39.25,23.4678
641.81,1585.26,1390.45,554.75,2388.03,9062.31,47.22,522.34,2387.98,8149.34,8.4036,391,39.02,23.5354
642.09,1586.00,1398.85,554.87,2387.93,9063.74,47.17,522.48,2388.00,8148.88,8.4049,392,39.00,23.3757
642.49,1581.86,1399.05,554.47,2388.06,9068.25,47.18,522.46,2387.95,8147.29,8.4072,392,39.04,23.4367
642.35,1580.99,1394.52,555.03,2387.99,9060.83,47.13,522.66,2387.97,8152.18,8.3539,392,39.02,23.4459
642.16,1583.88,1396.99,555.04,2387.94,9062.48,47.22,522.81,2387.99,8150.02,8.4027,391,39.09,23.3613
642.28,1591.30,1398.35,554.24,2388.02,9063.04,47.26,522.60,2387.95,8146.18,8.3842,391,38.97,23.3891
641.54,1580.21,1394.50,554.58,2387.98,9062.87,47.16,522.88,2388.02,8143.25,8.4114,391,39.07,23.3839
641.51,1581.49,1394.42,554.65,2388.00,9056.95,47.03,522.86,2388.04,8143.27,8.4096,391,39.11,23.3851
641.70,1582.16,1396.54,554.01,2388.05,9063.23,47.17,521.93,2387.97,8149.53,8.4068,392,38.99,23.3766
642.15,1580.61,1396.98,554.92,2388.00,9064.27,47.16,522.37,2388.02,8147.83,8.3898,390,38.98,23.4934
641.95,1586.67,1404.49,555.28,2387.99,9060.23,47.04,522.27,2388.01,8147.48,8.4043,391,39.02,23.3912
642.29,1581.31,1400.27,554.73,2387.99,9066.77,47.06,522.67,2388.02,8147.06,8.4058,391,39.15,23.5444
642.05,1584.84,1400.89,554.77,2387.98,9058.71,47.19,522.43,2388.03,8155.60,8.3873,392,38.89,23.3853
641.91,1591.77,1392.16,554.95,2388.02,9067.08,47.12,522.52,2387.98,8151.33,8.4093,392,39.04,23.5097
641.86,1588.59,1390.01,554.26,2387.98,9067.48,47.19,522.17,2388.02,8151.88,8.3749,391,39.12,23.4013
642.04,1579.19,1399.27,554.59,2387.97,9067.21,46.99,522.45,2388.02,8145.68,8.4097,394,39.01,23.3752
642.18,1587.08,1390.74,555.02,2388.02,9061.69,47.17,522.72,2387.99,8145.50,8.3747,392,38.81,23.3602
641.98,1591.50,1402.42,554.55,2388.01,9067.74,47.15,522.51,2388.02,8142.47,8.4160,393,38.99,23.3423
